return_mean,return_std,sharpe,ruin_prob,valid_rate,pass_rate,mean_slippage,variation,param,value
-89.99888060120834,97.0502791185613,-0.9273428310493362,0.01,1.0,0.057057057057057055,0.7554734307390851,baseline,none,none
-57.24883370096636,92.50783317329326,-0.61885390383682,0.0,1.0,0.048,0.0,alpha,alpha,0.0
-147.54380194618778,103.53621182758913,-1.4250453954953526,0.01,1.0,0.044044044044044044,1.2614867107087389,alpha,alpha,0.5
-241.64363868365845,97.6837008773376,-2.4737355002791657,0.09,1.0,0.044534412955465584,2.4941576254839304,alpha,alpha,1.0
-116.61358118837616,97.72589850850844,-1.193272028768204,0.0,1.0,0.058,0.7318017042950415,spread.beta,spread.beta,0.1
-127.07499457154734,96.180559855129,-1.3212128807499213,0.0,1.0,0.049,0.782677621902056,spread.beta,spread.beta,0.5
-113.42104905294238,106.29463566079232,-1.0670439607528404,0.01,1.0,0.04919678714859438,0.7719721174632631,spread.beta,spread.beta,1.0
